Category,Disease,Ranked_Proteins
Cancers,Secondary_Malignancy_Lymph_Nodes,"PSMD9, TBL1X, PNLIPRP2, RAD51, SFTPA2, MYH9, CHIT1, TPMT, SRC, SFTPD, RUVBL1, SULT1A1, PARK7, STAT5B, LYN, VAV3, BHLHE40, POLR2F, TIMM8A, LEP, HGS, CEACAM8, TWF2, GCG, SERPINE1"
Cancers,Secondary_Malignancy_Other_organs,"PNLIPRP2, VIM, KLK3, TBL1X, SFTPA2, IGFBP1, POLR2F, FABP1, GGT1, SFTPD, CEACAM6, GSTA1, RANBP2, SMAD2, VWF, EP300, FGF2, SFTPA1, RNF5, MNAT1, CDKN1A, CEACAM8, HMOX1, ANXA2, IL6"
Cancers,Secondary_Malignancy_retroperitoneum_and_peritoneum,"SRC, MYH9, TPR, PSME1, VIM, LEP, SMAD2, TBL1X, SFTPA1, AKT2, CA6, PNLIPRP2, PSMD9, CDH1, GP6, POLR2F, CDC26, VPS28, FABP1, GRPEL1, KLK3, ANXA2, COL4A1, FOXO3, SHC1"
Cancers,Secondary_malignancy_Liver_and_intrahepatic_bile_duct,"PNLIPRP2, APP, TIMM8A, LYN, CHIT1, STAT5B, VIM, SERPINE1, MYH9, PSMA1, SRC, IL6, SHC1, PSMD9, SULT1A1, LMNB1, GGT1, CYB5A, GUCY2C, TBL1X, MYL3, COL4A1, TRIM25, TOMM20, APOE"
Cardiovascular,Atrial_fibrillation,"LTBP2, VIM, COL4A1, F7, PNLIPRP2, BCAN, ATF2, GP1BB, SFTPD, COL1A1, APOL1, TBL1X, AGXT, HSPG2, EIF4G1, FURIN, KLK3, TNNI3, FABP1, PPP2R5A, CEACAM8, BGN, SRC, LYN, GDF2"
Cardiovascular,Coronary_heart_disease_not_otherwise_specified,"CES1, FABP1, RUVBL1, TBL1X, REN, KLK3, SRC, CDC27, TOMM20, SERPINE1, NBN, TNNI3, APOE, STAT5B, CD163, LMNB1, GH1, FGF23, SFTPD, PSMD9, ADH1B, SNAP25, CDKN1A, IGFBP1, PCSK9"
Cardiovascular,Heart_failure,"SERPINE1, TBL1X, PNLIPRP2, BHLHE40, COL4A1, PSMC3, PSMD9, LMNB1, VIM, PSMD5, SRC, PARK7, GSTA1, SULT1A1, FKBP1B, SOD2, GFER, CDKN1A, ACY1, GGT1, VWF, TNNI3, REN, RANBP2, F7"
Cardiovascular,Hypertension,"REN, LTBP2, MYL3, MMP7, GGT1, ELN, MYH9, HAVCR1, TIMM8A, CTSB, LEP, SRC, PTPN6, MMP9, COL5A1, KLK3, FBLN2, CD14, IGFBP1, SCN4B, TNNI3, PNLIPRP2, MMP10, FABP1, COL1A1"
Cardiovascular,Ischaemic_stroke,"ITGA6, SHC1, SRC, FKBP1B, GFER, BHLHE40, LAMA1, TBL1X, RAD51, VPS37A, CEACAM6, SULT1A1, FXN, YES1, BPIFB2, GCG, ATF2, NID2, PSMA1, APOE, KLK1, VWF, PSMD5, MAP2K6, GGT1"
Cardiovascular,Left_bundle_branch_block,"LMNB1, GSTA1, HSPA1A, TBL1X, CEACAM8, TRDMT1, CHIT1, POLR2F, VIM, CASP3, NUP50, SMC3, VPS37A, KLK3, PNLIPRP2, ELN, MMP9, ITGA5, RAD51, GP1BB, COL2A1, LAMA1, COL4A1, HSPA2, PSMD1"
Cardiovascular,Multiple_valve_dz,"TBL1X, COL4A1, PSMD9, LMNB1, PSME2, VIM, GSTA1, SDC4, MYH9, AKT2, COL2A1, VWF, FGF2, CDKN1A, CASP4, PPP2R5A, PSME1, SERPINE1, MSR1, GCG, ATF2, NBN, POLR2F, CDC27, LTBP2"
Cardiovascular,Myocardial_infarction,"TBL1X, PNLIPRP2, SERPINE1, SRC, STAT5B, KLK3, PSMD1, APOE, SULT1A1, GGT1, SAP18, TPRKB, CALCA, TRIM25, IMMT, NPHS2, VWF, IL6, TRDMT1, PSMD9, LMNB1, COL2A1, LYN, F7, CA3"
Cardiovascular,Nonrheumatic_aortic_valve_disorders,"TBL1X, PNLIPRP2, FASLG, TNFRSF10A, MYH9, LMNB1, TNNI3, SERPINE1, VIM, HSPA2, PSME1, PSMA1, APOE, SRC, PSMC3, PSMD5, ATF2, GGT1, CDH15, CDKN1A, ITGA6, SERPINE2, PSMD9, LYN, SMC3"
Cardiovascular,Nonrheumatic_mitral_valve_disorders,"GSTA1, TBL1X, PSMD9, SMAD3, COL4A1, VAV3, FABP1, CAMLG, SULT1A1, TP53BP1, FGF2, FURIN, SRC, SAP18, CTSH, NID2, POLR2F, NBN, PARP1, TOMM20, NPHS2, TIMM8A, ITGB5, CDKN1A, LEP"
Cardiovascular,Peripheral_arterial_disease,"COL4A1, FABP1, PNLIPRP2, LYN, CDKN1A, CHIT1, GSTA1, SERPINE1, GP6, SFTPD, COL2A1, CA6, GUSB, LAMA1, PSMD1, RAD51, SRC, KIF22, SULT1A1, CEACAM6, PRKAR2A, TBL1X, SKAP2, CAT, ITGA6"
