"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","wound healing","GO:0042060","false","0.00013957451151860536","3.8551938834140933","439","51","10","20972","APOE,CDKN1A,CHMP6,HMOX1,MYH9,SERPINE1,SRC,STXBP1,VAV3,YAP1"
"GO:BP","positive regulation of signaling","GO:0023056","false","0.00014054555101192758","3.8521828974884236","1779","51","18","20972","APOE,COL1A1,CTSH,DLG4,FGF21,GCG,GFAP,HMOX1,LEP,NAMPT,PARK7,RUVBL1,SRC,STXBP1,TBL1X,TPR,VAV3,YAP1"
"GO:BP","positive regulation of protein localization to nucleus","GO:1900182","false","0.00017032161273886399","3.768730239308852","94","51","6","20972","CDH1,LEP,PARK7,SRC,TPR,YAP1"
"GO:BP","blood vessel development","GO:0001568","false","0.00020349527005251831","3.6914456808562752","727","51","12","20972","APOE,ATF2,COL1A1,COL4A1,CTSH,HMOX1,KLK3,LEP,MYH9,SERPINE1,VAV3,YAP1"
"GO:BP","negative regulation of extrinsic apoptotic signaling pathway","GO:2001237","false","0.00021857530925886977","3.6603988984624998","98","51","6","20972","HMOX1,ITGA6,PARK7,SERPINE1,SRC,YAP1"
"GO:BP","protein localization to organelle","GO:0033365","false","0.00021918030290208072","3.659198477219152","887","51","13","20972","ATF2,CDH1,CDKN1A,COL1A1,DLG4,LEP,LMNB1,NBN,PARK7,SRC,TP53BP1,TPR,YAP1"
"GO:BP","vasculature development","GO:0001944","false","0.0003192193006872513","3.495910858146613","758","51","12","20972","APOE,ATF2,COL1A1,COL4A1,CTSH,HMOX1,KLK3,LEP,MYH9,SERPINE1,VAV3,YAP1"
"GO:BP","localization","GO:0051179","false","0.0003254440088997104","3.4875237189776684","5493","51","31","20972","APOA2,APOA4,APOE,ATF2,ATP6V1F,CDH1,CDKN1A,CHMP6,COL1A1,DLG4,FGF21,GCG,GFAP,LEP,LMNB1,MYH9,NBN,NEFL,PARK7,RUVBL1,SCP2,SERPINE1,SFTPD,SRC,STAT5B,STXBP1,TP53BP1,TPR,VAV3,VGF,YAP1"
"GO:BP","regulation of programmed cell death","GO:0043067","false","0.00033611165346143616","3.473516429671971","1467","51","16","20972","APOE,CDKN1A,CTSH,GCG,HMOX1,ITGA6,LEP,NEFL,PARK7,RUVBL1,SAP18,SERPINE1,SRC,STAT5B,STXBP1,YAP1"
"GO:BP","homeostatic process","GO:0042592","false","0.0003547536846785531","3.450073085011425","1677","51","17","20972","APOA2,APOA4,APOE,ATP6V1F,COL1A1,CTSH,FGF21,GCG,HMOX1,IMMT,LEP,PARK7,SFTPD,SRC,STAT5B,VGF,YAP1"
"GO:BP","apoptotic process","GO:0006915","false","0.0003741816985460745","3.4269174579231914","1898","51","18","20972","APOE,ATF2,CDKN1A,CTSH,GCG,HMOX1,ITGA6,LEP,NBN,NEFL,PARK7,RUVBL1,SAP18,SERPINE1,SRC,STAT5B,STXBP1,YAP1"
"GO:BP","blood vessel morphogenesis","GO:0048514","false","0.00043818749677733654","3.3583400187380676","632","51","11","20972","APOE,ATF2,COL4A1,CTSH,HMOX1,KLK3,LEP,MYH9,SERPINE1,VAV3,YAP1"
"GO:BP","chemical homeostasis","GO:0048878","false","0.0004879596971168359","3.31161604693701","951","51","13","20972","APOA2,APOA4,APOE,ATP6V1F,COL1A1,CTSH,GCG,HMOX1,IMMT,LEP,PARK7,SFTPD,VGF"
"GO:BP","cell adhesion","GO:0007155","true","0.0005068783915753667","3.295096222526073","1512","51","16","20972","APOA4,BCAN,CDH1,CEACAM8,COL1A1,DLG4,ITGA6,LEP,MYH9,PDLIM5,SERPINE1,SFTPD,SRC,STAT5B,STXBP1,VAV3"
"GO:BP","circulatory system development","GO:0072359","false","0.000541080351377569","3.2667382366148856","1135","51","14","20972","APOE,ATF2,CDKN1A,COL1A1,COL4A1,CTSH,HMOX1,KLK3,LEP,MYH9,PDLIM5,SERPINE1,VAV3,YAP1"
"GO:BP","leukocyte migration","GO:0050900","false","0.0005475521346078412","3.261574523621066","386","51","9","20972","HMOX1,ITGA6,LEP,MYH9,SERPINE1,SFTPD,SRC,STAT5B,VAV3"
"GO:BP","programmed cell death","GO:0012501","false","0.0005961047359981526","3.2246774277264807","1958","51","18","20972","APOE,ATF2,CDKN1A,CTSH,GCG,HMOX1,ITGA6,LEP,NBN,NEFL,PARK7,RUVBL1,SAP18,SERPINE1,SRC,STAT5B,STXBP1,YAP1"
"GO:BP","regulation of signaling","GO:0023051","false","0.000614085128887999","3.2117714196673064","3473","51","24","20972","APOE,CDH1,CHMP6,COL1A1,CTSH,DLG4,FGF21,GCG,GFAP,HMOX1,ITGA6,LEP,NAMPT,NEFL,PARK7,RUVBL1,SERPINE1,SRC,STXBP1,TBL1X,TPR,VAV3,VGF,YAP1"
"GO:BP","cell death","GO:0008219","false","0.0006145157441488437","3.211466985829808","1962","51","18","20972","APOE,ATF2,CDKN1A,CTSH,GCG,HMOX1,ITGA6,LEP,NBN,NEFL,PARK7,RUVBL1,SAP18,SERPINE1,SRC,STAT5B,STXBP1,YAP1"
"GO:BP","regulation of developmental process","GO:0050793","false","0.0006219462547293858","3.2062471430952604","2431","51","20","20972","APOE,ATF2,CDH1,CDKN1A,COL1A1,CTSH,DLG4,GFAP,HMOX1,KLK3,LEP,MYH9,NEFL,PDLIM5,RUVBL1,SERPINE1,SRC,STAT5B,TP53BP1,YAP1"
